run_id,scenario_id,turn_index,mcs_turn
v2_experiments_20260228_043819_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_72274063,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_043819_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_72274063,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_043819_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_72274063,memory_numeric_recall_01,2,1
v2_experiments_20260228_043819_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_72274063,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_043819_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_72274063,memory_name_recall_01,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_name_recall_01_luna,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_name_recall_01_nova,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_name_recall_01_milo,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_structured_recall_01,2,0
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_numeric_recall_01,2,0
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_044502_phi_mini_t0_phi3_mini_8b2b618d,memory_name_recall_01,2,0
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_name_recall_01_luna,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_name_recall_01_nova,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_name_recall_01_milo,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_structured_recall_01,2,0
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_numeric_recall_01,2,0
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_050653_phi_mini_t0_phi3_mini_dca387e5,memory_name_recall_01,2,0
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_name_recall_01_luna,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_name_recall_01_nova,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_name_recall_01_milo,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_structured_recall_01,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_numeric_recall_01,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_050942_qwen_3b_t0_qwen2_5_3b_1ae8f07e,memory_name_recall_01,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_name_recall_01_luna,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_name_recall_01_nova,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_name_recall_01_milo,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_numeric_recall_01_45678,2,1
