profile,model,temperature,num_ctx,n_scenarios,pri_mean,pri_p50,bri_mean,memory_mean,persona_mean,contradiction_mean,latency_ms_mean,tokens_total_sum,cost_usd_est_sum,ttft_ms_mean,prompt_tps_mean,decode_tps_mean,prefill_time_share_mean,reliability_per_1k_tokens_mean,reliability_per_second_mean
phi_mini_t0,phi3:mini,0.0,2048,104,0.3663458653846154,0.39999999999999997,0.6089730769230769,0.2692307692307692,0.28525576923076923,0.0673076923076923,1730.3429487179487,60516.0,0.0,21.709837006410257,5542.607663968434,100.264807905051,0.022364729824961807,0.9399077922259746,0.3293191509653794
qwen_14b_t0,qwen2.5:14b,0.0,2048,104,0.3586544230769231,0.39999999999999997,0.6041692307692308,0.2692307692307692,0.3141038461538462,0.16346153846153846,6950.953525641025,46422.0,0.0,38.05937720192308,2394.1527610414614,21.20110602577489,0.01674594053233274,1.4983799290144406,0.132395686710058
mixtral_moe_7b_t0,mixtral:8x7b,0.0,2048,52,0.3576928846153846,0.375,0.6041692307692308,0.2692307692307692,0.24679615384615383,0.057692307692307696,13191.71794871795,29199.0,0.0,1090.758358423077,134.97807367305225,14.110087894714459,0.12420316013182744,0.8829299345913483,0.03922419366423865
gemma_9b_t0,gemma2:9b-instruct-q4_K_M,0.2,2048,104,0.35721139423076925,0.35000000000000003,0.6097750000000001,0.2692307692307692,0.2628201923076923,0.09134615384615384,4351.254807692308,45888.0,0.0,28.368282195512823,3079.9648122891417,34.76429683418684,0.01673422069154117,1.1068197090527447,0.14243632988737295
gpt_20b_t0,gpt-oss-safeguard:20b,0.0,2048,156,0.35288461538461535,0.35000000000000003,0.5961538461538461,0.2692307692307692,0.25961538461538464,0.10576923076923077,3400.9754273504273,100119.0,0.0,58.30268006089744,2385.6548857674024,60.7852828287245,0.02476151632024631,0.6648172066300938,0.1347460634458023
qwen_3b_t0,qwen2.5:3b,0.0,2048,104,0.33749942307692304,0.35000000000000003,0.5544846153846155,0.2692307692307692,0.24358846153846153,0.15384615384615385,1190.9150641025642,40426.0,0.0,14.469806392628206,5676.105225196223,114.00858857951219,0.027087893998792825,1.4406242381996532,0.5615834252084322
qwen_3b_t0,qwen2.5:3b,0.0,6144,52,0.33749942307692304,0.35000000000000003,0.5544846153846155,0.2692307692307692,0.24358846153846153,0.15384615384615385,1179.801282051282,20213.0,0.0,14.519813801282051,5677.710293371636,114.94452510258319,0.027524097897969217,1.4406242381996532,0.5686311274771274
