run_id,experiment_id,run_name,cell_id,profile,model,temperature,num_ctx,scenario_id,scenario_index,turn_index,started_at,ended_at,latency_ms,prompt_eval_count,eval_count,prompt_ms,decode_ms,total_ms,load_ms,tokens_total,prompt_tps,decode_tps,ttft_ms,prefill_time_share,decode_time_share,prompt_tok_share,profile_m,model_m,temperature_m,num_ctx_m,tags,persona_pss,persona_drift_turn,format_score,memory_score,recovery_score,contradiction_rate,avg_confidence,avg_abs_error,bri,pri_scenario,cost_usd_est
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_shakespeare_01_pirate,4,1,2026-02-28T04:20:41.804581+00:00,2026-02-28T04:20:42.583752+00:00,779.0,99,75,13.433371,653.862597,778.143117,51.84554,174.0,7369.706382709151,114.70299776147006,13.433371,0.01726336801871371,0.8402857812594391,0.5689655172413793,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,persona,style",1.0,,0.0,0.0,0.0,0.0,,,1.0,0.5,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_shakespeare_01_pirate,4,2,2026-02-28T04:20:42.583824+00:00,2026-02-28T04:20:43.238055+00:00,654.0,193,64,14.734695,529.365262,653.470724,52.899254,257.0,13098.336952342752,120.89950851365083,14.734695,0.022548362855196555,0.8100825982833165,0.7509727626459144,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,persona,style",1.0,,0.0,0.0,0.0,0.0,,,1.0,0.5,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_minimalist_01_formal,5,0,2026-02-28T04:20:43.238139+00:00,2026-02-28T04:20:44.327223+00:00,1089.0,37,106,13.766306,944.286206,1088.192294,53.066453,143.0,2687.721746124196,112.2541019094374,13.766306,0.012650618898795474,0.867756747779359,0.25874125874125875,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,persona,constraints",0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.2,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_minimalist_01_formal,5,1,2026-02-28T04:20:44.327338+00:00,2026-02-28T04:20:46.965097+00:00,2638.0,156,256,13.256334,2379.448518,2637.100577,69.480469,412.0,11767.95937700423,107.58795496663065,13.256334,0.005026859466649762,0.9022972194359351,0.3786407766990291,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,persona,constraints",0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.2,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,consistency_numeric_01,6,0,2026-02-28T04:20:46.965193+00:00,2026-02-28T04:20:47.170625+00:00,205.0,21,17,13.986548,124.603449,204.571198,51.879103,38.0,1501.442671915901,136.43282057144341,13.986548,0.06837007426627086,0.609095758436141,0.5526315789473685,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,consistency",0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.2,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,consistency_numeric_01,6,1,2026-02-28T04:20:47.170728+00:00,2026-02-28T04:20:47.740686+00:00,570.0,59,56,12.540257,462.9096,569.013627,53.025536,115.0,4704.847755512506,120.97394394067439,12.540257,0.022038588190085646,0.8135299016309849,0.5130434782608696,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,consistency",0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.2,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_shakespeare_01_formal,7,0,2026-02-28T04:20:47.740749+00:00,2026-02-28T04:20:48.273363+00:00,533.0,42,48,14.503732,431.976557,532.106388,50.941886,90.0,2895.8064034829104,111.11714101652049,14.503732,0.02725720330950058,0.8118236629777126,0.4666666666666667,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,persona,style",0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.2,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_shakespeare_01_formal,7,1,2026-02-28T04:20:48.273439+00:00,2026-02-28T04:20:48.833554+00:00,560.0,103,54,13.765759,452.80139,559.484635,51.053763,157.0,7482.3335204401,119.2575844345354,13.765759,0.024604355756793928,0.8093187223988734,0.6560509554140127,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,persona,style",0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.2,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_shakespeare_01_formal,7,2,2026-02-28T04:20:48.833616+00:00,2026-02-28T04:20:49.446716+00:00,613.0,176,58,13.605755,504.248099,612.428397,47.879424,234.0,12935.702575858524,115.0227439925361,13.605755,0.022216074673624252,0.8233584554048692,0.7521367521367521,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,persona,style",0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.2,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,v2_experiments_20260228_042033_05585868,v2_experiments,behavioral_qwen3b_2k,qwen_3b_t0,qwen2.5:3b,0.0,2048,persona_verbose_01_shakespeare,8,0,2026-02-28T04:20:49.446804+00:00,2026-02-28T04:20:50.721459+00:00,1275.0,33,124,14.942388,1120.824433,1273.891215,49.504245,157.0,2208.4823389675066,110.63284877552273,14.942388,0.01172972057900564,0.8798431293051973,0.21019108280254778,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,persona",0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.15,0.0
